DB00121,CHEMBL857
DB00351,CHEMBL1201139
DB00519,CHEMBL1519
DB06699,CHEMBL415606
DB01012,CHEMBL1201284
DB00703,CHEMBL288100
DB00809,CHEMBL1200604
DB00664,CHEMBL1525826
DB01022,CHEMBL1550
DB00349,CHEMBL70418
DB00277,CHEMBL190
DB00292,CHEMBL681
DB01037,CHEMBL8663
DB01133,CHEMBL1350
DB06689,CHEMBL1200394
DB01170,CHEMBL765
DB00606,CHEMBL61593
DB00362,CHEMBL264241
DB00605,CHEMBL15770
DB00139,CHEMBL576
DB01397,CHEMBL2106755
DB08996,CHEMBL1328913
DB00836,CHEMBL841
DB06695,CHEMBL539697
DB00754,CHEMBL1095
DB00973,CHEMBL1138
DB00120,CHEMBL301523
DB00149,CHEMBL291962
DB00419,CHEMBL1029
DB01396,CHEMBL254219
DB00571,CHEMBL27
DB00952,CHEMBL1278
DB00916,CHEMBL137
DB01601,CHEMBL729
DB01627,CHEMBL1447
DB00692,CHEMBL597
DB00911,CHEMBL1220
DB00679,CHEMBL479
DB00712,CHEMBL563
DB00262,CHEMBL513
DB01349,CHEMBL432162
DB00948,CHEMBL1731
DB00902,CHEMBL1200959
DB00413,CHEMBL301265
DB01039,CHEMBL672
DB06288,CHEMBL243712
DB08944,CHEMBL2105002
DB00521,CHEMBL839
DB00541,CHEMBL90555
DB00963,CHEMBL1077
DB00696,CHEMBL442
DB00716,CHEMBL746
DB01121,CHEMBL918
DB01137,CHEMBL33
DB00966,CHEMBL1017
DB06781,CHEMBL1201749
DB01180,CHEMBL3182071
DB09014,CHEMBL2110809
DB00658,CHEMBL1201798
DB00604,CHEMBL560739
DB00259,CHEMBL21
DB00539,CHEMBL1655
DB00984,CHEMBL1200412
DB08947,CHEMBL1200932
DB00598,CHEMBL429
DB01422,CHEMBL1454910
DB00331,CHEMBL1431
DB01059,CHEMBL9
DB06274,CHEMBL270190
DB00188,CHEMBL325041
DB00961,CHEMBL1087
DB00818,CHEMBL526
DB00980,CHEMBL1218
DB00194,CHEMBL1090
DB01204,CHEMBL58
DB00878,CHEMBL790
DB04572,CHEMBL671
DB00363,CHEMBL42
DB00615,CHEMBL444633
DB01338,CHEMBL1201206
DB00035,CHEMBL376685
DB00724,CHEMBL1282
DB09002,CHEMBL415087
DB01154,CHEMBL440
DB00765,CHEMBL1200862
DB02638,CHEMBL2135460
DB00167,CHEMBL1233584
DB01033,CHEMBL1425
DB00858,CHEMBL1582
DB00517,CHEMBL1578
DB00172,CHEMBL54922
DB00821,CHEMBL1316
DB00308,CHEMBL533
DB00200,CHEMBL2103737
DB00646,CHEMBL229383
DB00529,CHEMBL666
DB00934,CHEMBL21731
DB00181,CHEMBL701
DB00798,CHEMBL329592
DB00177,CHEMBL1069
DB01233,CHEMBL86
DB01235,CHEMBL1009
DB00378,CHEMBL1200853
DB08884,CHEMBL1201768
DB00801,CHEMBL970
DB00877,CHEMBL413
DB00945,CHEMBL25
DB00816,CHEMBL776
DB00160,CHEMBL279597
DB00747,CHEMBL569713
DB00357,CHEMBL488
DB01610,CHEMBL1201314
DB00869,CHEMBL218490
DB00860,CHEMBL131
DB00309,CHEMBL219146
DB01086,CHEMBL278172
DB00706,CHEMBL836
DB00268,CHEMBL589
DB01023,CHEMBL1480
DB00895,CHEMBL1201779
DB00609,CHEMBL1441
DB06804,CHEMBL1410
DB00996,CHEMBL940
DB01010,CHEMBL1104
DB01084,CHEMBL594
DB00573,CHEMBL1297
DB00896,CHEMBL111461
DB01071,CHEMBL73451
DB00813,CHEMBL596
DB01072,CHEMBL1163
DB00789,CHEMBL1200431
DB00588,CHEMBL1473
DB00344,CHEMBL668
DB00701,CHEMBL116
DB01053,CHEMBL29
DB00647,CHEMBL1213351
DB00398,CHEMBL1336
DB00440,CHEMBL22
DB00857,CHEMBL822
DB00469,CHEMBL302795
DB01155,CHEMBL430
DB00371,CHEMBL979
DB00282,CHEMBL834
DB00487,CHEMBL267648
DB00233,CHEMBL1169
DB06213,CHEMBL317052
DB00819,CHEMBL20
DB00938,CHEMBL1263
DB01036,CHEMBL1382
DB00306,CHEMBL1200802
DB01062,CHEMBL1231
DB01221,CHEMBL742
DB01365,CHEMBL1201234
DB08816,CHEMBL398435
DB00689,CHEMBL1200971
DB01166,CHEMBL799
DB00721,CHEMBL569
DB00610,CHEMBL1201319
DB06738,CHEMBL47072
DB00897,CHEMBL646
DB00548,CHEMBL1238
DB00959,CHEMBL650
DB01409,CHEMBL1900528
DB00602,CHEMBL1200633
DB06800,CHEMBL1186579
DB01356,CHEMBL1234004
DB01208,CHEMBL850
DB00243,CHEMBL1404
DB00695,CHEMBL35
DB00792,CHEMBL1241
DB00235,CHEMBL189
DB00411,CHEMBL14
DB00129,CHEMBL446143
DB01181,CHEMBL1024
DB09006,CHEMBL1897738
DB00888,CHEMBL427
DB00330,CHEMBL44884
DB00905,CHEMBL1200963
DB00623,CHEMBL726
DB04574,CHEMBL494753
DB01101,CHEMBL1773
DB00425,CHEMBL911
DB01411,CHEMBL21333
DB00461,CHEMBL1070
DB00294,CHEMBL1531
DB00504,CHEMBL1254682
DB00552,CHEMBL1580
DB00722,CHEMBL1237
DB01264,CHEMBL1323
DB00180,CHEMBL1512
DB08842,CHEMBL1358846
DB00520,CHEMBL499808
DB01559,CHEMBL1697737
DB00165,CHEMBL1364
DB00152,CHEMBL1547
DB06696,CHEMBL426926
DB00776,CHEMBL1068
DB08982,CHEMBL330829
DB02703,CHEMBL374975
DB01160,CHEMBL1200896
DB00316,CHEMBL112
DB01020,CHEMBL1311
DB00714,CHEMBL53
DB00438,CHEMBL44354
DB01428,CHEMBL1625
DB00150,CHEMBL54976
DB01195,CHEMBL652
DB00626,CHEMBL1200558
DB00523,CHEMBL705
DB00624,CHEMBL386630
DB00280,CHEMBL517
DB09019,CHEMBL253376
DB08864,CHEMBL175691
DB01104,CHEMBL809
DB00671,CHEMBL1541
DB04890,CHEMBL1201758
DB00131,CHEMBL752
DB06702,CHEMBL1201764
DB00760,CHEMBL127
DB01150,CHEMBL276568
DB00192,CHEMBL1201242
DB01354,CHEMBL468837
DB00336,CHEMBL869
DB04876,CHEMBL142703
DB00295,CHEMBL70
DB01609,CHEMBL550348
DB00600,CHEMBL1388
DB00738,CHEMBL55
DB01003,CHEMBL428880
DB00393,CHEMBL1428
DB06795,CHEMBL419
DB00497,CHEMBL656
DB00346,CHEMBL709
DB01192,CHEMBL963
DB05013,CHEMBL1863513
DB01325,CHEMBL1532
DB01147,CHEMBL891
DB01351,CHEMBL267894
DB01619,CHEMBL278398
DB00186,CHEMBL580
DB00928,CHEMBL1489
DB08874,CHEMBL1255800
DB00994,CHEMBL184618
DB01625,CHEMBL1201232
DB00576,CHEMBL1191
DB00146,CHEMBL1040
DB08934,CHEMBL1259059
DB00734,CHEMBL85
DB01056,CHEMBL1762
DB06777,CHEMBL240597
DB01551,CHEMBL1595
DB05521,CHEMBL231813
DB00392,CHEMBL1206
